epoch,loss_train,loss_val
1.0,0.6538758873939514,0.15318435430526733
2.0,0.04538707435131073,0.08625226467847824
3.0,0.006890906952321529,0.05732252821326256
4.0,0.001399506931193173,0.053760070353746414
5.0,0.00043132228893227875,0.04829708859324455
6.0,0.00033109725336544216,0.046855226159095764
7.0,0.00013165718701202422,0.049454670399427414
8.0,0.00018035710672847927,0.04729757085442543
9.0,0.00012465458712540567,0.04992492496967316
10.0,0.0001654702064115554,0.049270596355199814
